t=2025-12-17T22:00:24+0530 lvl=info msg="no configuration paths supplied"
t=2025-12-17T22:00:24+0530 lvl=info msg="using configuration at default config path" path="/Users/viswanathreddy/Library/Application Support/ngrok/ngrok.yml"
t=2025-12-17T22:00:24+0530 lvl=info msg="open config file" path="/Users/viswanathreddy/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-12-17T22:08:02+0530 lvl=info msg="join connections" obj=join id=d1080c24751e l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:02+0530 lvl=info msg="join connections" obj=join id=179c5ff3b99f l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:02+0530 lvl=info msg="join connections" obj=join id=3105ce22709c l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:02+0530 lvl=info msg="join connections" obj=join id=990456011fb1 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:02+0530 lvl=info msg="join connections" obj=join id=22702c46588b l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:02+0530 lvl=info msg="join connections" obj=join id=57b719d9e7e9 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:02+0530 lvl=info msg="join connections" obj=join id=7716467d0ac3 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:03+0530 lvl=info msg="join connections" obj=join id=e2649345d235 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62504
t=2025-12-17T22:08:37+0530 lvl=info msg="join connections" obj=join id=89796ced3795 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:37+0530 lvl=info msg="join connections" obj=join id=90be2fdd8506 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:37+0530 lvl=info msg="join connections" obj=join id=88750abcb00e l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:37+0530 lvl=info msg="join connections" obj=join id=2f66bf82df3e l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:37+0530 lvl=info msg="join connections" obj=join id=b5bb8afea773 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:37+0530 lvl=info msg="join connections" obj=join id=6f5d1843a335 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:37+0530 lvl=info msg="join connections" obj=join id=0ea8e2cab31a l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:37+0530 lvl=info msg="join connections" obj=join id=c00b3b155718 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:37+0530 lvl=info msg="join connections" obj=join id=1b7f13b0cc4e l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:37+0530 lvl=info msg="join connections" obj=join id=27113552df74 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:37+0530 lvl=info msg="join connections" obj=join id=1527a0a314ef l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:37+0530 lvl=info msg="join connections" obj=join id=ddaf02309926 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:37+0530 lvl=info msg="join connections" obj=join id=e6b1b2036072 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:37+0530 lvl=info msg="join connections" obj=join id=6782f7537f99 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:37+0530 lvl=info msg="join connections" obj=join id=f06d10c0992f l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:37+0530 lvl=info msg="join connections" obj=join id=707b99534144 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:37+0530 lvl=info msg="join connections" obj=join id=ccc43009f066 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:08:39+0530 lvl=info msg="join connections" obj=join id=5229c467b68b l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62507
t=2025-12-17T22:08:45+0530 lvl=info msg="join connections" obj=join id=6b288edf15a2 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:10:09+0530 lvl=info msg="join connections" obj=join id=f4020a3ee508 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62521
t=2025-12-17T22:10:13+0530 lvl=info msg="join connections" obj=join id=60cf61672b34 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
